,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+
81,Bruno Alves,DF,Parma,it Serie A,18.1,1,10.0,0.3,86.9,0.1,42.0,2.0,36.0,7.0,6.0,28.0,15.0,31.0,1076.0,18.0,2.0,23.0,2.0,0.0,45.0,59.0
82,Steven Alzate,"MF,DF",Brighton,eng Premier League,10.0,1,7.0,0.7,89.5,0.5,33.0,6.0,35.0,25.0,15.0,16.0,7.0,26.0,536.0,16.0,8.0,49.0,14.0,4.0,6.0,84.0
83,Ibrahim Amadou,MF,Angers,fr Ligue 1,16.7,0,15.0,2.1,86.5,0.3,43.0,2.0,45.0,25.0,30.0,18.0,29.0,73.0,857.0,14.0,7.0,36.0,12.0,5.0,24.0,81.0
84,Romain Amalfitano,"FW,DF",Dijon,fr Ligue 1,1.3,0,2.0,0.0,81.0,0.0,5.0,0.0,8.0,2.0,1.0,2.0,1.0,3.0,69.0,0.0,1.0,13.0,3.0,0.0,1.0,21.0
85,Emmanuel Amankwaa Akurugu,DF,Getafe,es La Liga,0.5,0,0.0,0.0,66.7,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0
86,Daniel Amartey,DF,Leicester City,eng Premier League,8.0,1,3.0,0.4,85.8,0.0,19.0,1.0,25.0,5.0,6.0,19.0,12.0,24.0,562.0,7.0,1.0,13.0,5.0,0.0,21.0,38.0
87,Jordan Amavi,DF,Marseille,fr Ligue 1,9.0,1,4.0,0.2,80.5,0.3,15.0,6.0,24.0,16.0,12.0,29.0,13.0,33.0,574.0,10.0,13.0,30.0,13.0,3.0,22.0,54.0
88,Thierry Ambrose,FW,Metz,fr Ligue 1,8.4,0,19.0,1.4,68.8,1.5,21.0,9.0,25.0,25.0,5.0,3.0,3.0,12.0,375.0,41.0,18.0,35.0,18.0,7.0,21.0,60.0
89,Wisdom Amey,DF,Bologna,it Serie A,0.0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Nadiem Amiri,MF,Leverkusen,de Bundesliga,21.0,2,43.0,2.1,82.8,2.9,90.0,27.0,98.0,72.0,13.0,19.0,19.0,39.0,1365.0,33.0,18.0,134.0,45.0,7.0,6.0,232.0
91,Ethan Ampadu,"DF,MF",Sheffield Utd,eng Premier League,23.2,0,7.0,0.3,80.5,0.9,69.0,16.0,84.0,15.0,36.0,48.0,39.0,101.0,1354.0,9.0,9.0,98.0,35.0,0.0,66.0,182.0
92,Sofyan Amrabat,MF,Fiorentina,it Serie A,27.1,0,9.0,0.4,88.8,0.5,126.0,15.0,111.0,34.0,42.0,46.0,21.0,81.0,1649.0,12.0,40.0,108.0,35.0,1.0,16.0,219.0
93,Jon Ander Garrido,MF,Cadiz,es La Liga,8.9,0,5.0,0.4,78.6,0.1,22.0,1.0,12.0,10.0,15.0,18.0,9.0,29.0,327.0,7.0,3.0,9.0,1.0,0.0,21.0,21.0
94,Joachim Andersen,DF,Fulham,eng Premier League,30.3,1,13.0,1.1,83.4,0.5,121.0,9.0,99.0,26.0,26.0,35.0,51.0,92.0,2204.0,22.0,7.0,69.0,12.0,0.0,118.0,168.0
95,Joachim Andersen,DF,Lyon,fr Ligue 1,2.1,0,5.0,0.3,89.7,0.0,8.0,0.0,7.0,1.0,1.0,2.0,0.0,1.0,138.0,2.0,0.0,9.0,2.0,0.0,6.0,16.0
