Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
271,Bartosz Bereszyński\Bartosz-Bereszynski,pl POL,DF,Sampdoria,it Serie A,28-263,1992,21.0,16,0.76,15,0,1,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
272,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MF,Burnley,eng Premier League,30-156,1990,9.8,14,1.43,11,0,0,1,1,1,0,0.00,0,0,0,0,0,0,0,Matches
273,Sander Berge\Sander-Berge,no NOR,MF,Sheffield Utd,eng Premier League,23-046,1998,11.3,22,1.95,18,0,2,1,0,1,1,0.09,0,0,0,1,0,0,0,Matches
274,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,eng Premier League,23-175,1997,11.6,28,2.41,21,1,0,1,5,0,4,0.34,2,0,0,1,1,0,0,Matches
275,Valon Berisha\Valon-Berisha,xk KVX,MF,Reims,fr Ligue 1,28-053,1993,18.3,51,2.79,44,7,0,0,0,0,6,0.33,4,2,0,0,0,0,0,Matches
276,Bernard\Bernard,br BRA,FWMF,Everton,eng Premier League,28-205,1992,4.4,15,3.42,13,0,1,0,1,0,1,0.23,1,0,0,0,0,0,0,Matches
277,Federico Bernardeschi\Federico-Bernardeschi,it ITA,DFMF,Juventus,it Serie A,27-044,1994,9.6,37,3.84,19,14,2,0,2,0,5,0.52,5,0,0,0,0,0,0,Matches
278,Bernardo\Bernardo,br BRA,DFMF,Brighton,eng Premier League,25-322,1995,2.3,4,1.75,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0,Matches
279,Paul Bernardoni\Paul-Bernardoni,fr FRA,GK,Angers,fr Ligue 1,23-348,1997,30.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
280,Juan Bernat\Juan-Bernat,es ESP,DF,Paris S-G,fr Ligue 1,28-031,1993,2.2,3,1.39,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
281,Dimitry Bertaud\Dimitry-Bertaud,fr FRA,GK,Montpellier,fr Ligue 1,22-299,1998,5.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
282,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,eng Premier League,31-239,1989,26.9,29,1.08,20,7,0,0,1,1,3,0.11,2,0,0,0,0,1,0,Matches
283,Daniel Bessa\Daniel-Bessa,it ITA,FWMF,Hellas Verona,it Serie A,28-077,1993,2.1,12,5.60,9,1,1,0,0,1,2,0.93,2,0,0,0,0,0,0,Matches
284,Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,de Bundesliga,20-317,2000,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
285,Bartosz Bialek\Bartosz-Bialek,pl POL,FWMF,Wolfsburg,de Bundesliga,19-141,2001,2.3,9,3.99,9,0,0,0,0,0,2,0.89,2,0,0,0,0,0,0,Matches
286,Giulian Biancone\Giulian-Biancone,fr FRA,DFMF,Monaco,fr Ligue 1,21-001,2000,1.0,2,1.96,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
287,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,de Bundesliga,31-067,1990,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
288,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,es La Liga,30-198,1990,16.8,8,0.48,5,1,1,0,0,1,1,0.06,1,0,0,0,0,0,0,Matches
289,El Bilal Touré\El-Bilal-Toure,ml MLI,FWMF,Reims,fr Ligue 1,19-180,2001,10.7,13,1.21,10,0,1,0,1,1,3,0.28,2,0,0,0,0,1,0,Matches
290,Cristiano Biraghi\Cristiano-Biraghi,it ITA,DF,Fiorentina,it Serie A,28-212,1992,23.4,64,2.74,36,24,1,1,2,0,5,0.21,4,1,0,0,0,0,0,Matches
291,Davide Biraschi\Davide-Biraschi,it ITA,DF,Genoa,it Serie A,26-273,1994,5.8,3,0.52,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,0,Matches
292,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,eng Premier League,24-214,1996,25.6,36,1.41,32,0,0,2,0,2,2,0.08,2,0,0,0,0,0,0,Matches
293,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MFFW,Werder Bremen,de Bundesliga,27-103,1993,14.1,35,2.48,20,7,3,1,2,2,4,0.28,1,1,0,0,1,1,0,Matches
294,Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,es La Liga,22-106,1998,5.4,7,1.30,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
295,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,es La Liga,25-250,1995,18.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,Matches
296,Ludovic Blas\Ludovic-Blas,fr FRA,MFFW,Nantes,fr Ligue 1,23-091,1997,23.2,53,2.29,32,3,10,4,3,1,7,0.30,4,0,2,0,1,0,0,Matches
297,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,de Bundesliga,32-210,1988,20.5,10,0.49,10,0,0,0,0,0,3,0.15,3,0,0,0,0,0,0,Matches
298,Antonin Bobichon\Antonin-Bobichon,fr FRA,FWMF,Angers,fr Ligue 1,25-199,1995,5.7,28,4.92,17,2,2,2,4,1,3,0.53,2,0,0,1,0,0,0,Matches
