,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Att,Cmp%,Att.1,Att.2,Att.3,xA,1/3_x,PPA,Prog_x,SCA,TklW,Att_def,Tkl%,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Att_pos,Succ%,Prog_y,1/3_y,CPA,Won,Lost,Won%,Live,FK,Press,Sw,Crs,Ground,Low,High,TI,Out.1,Att_aer,Prog+,short_model,medium_model,long_model,live_model,fk_model,sw_model,crs_model,ground_model,low_model,high_model,ti_model,press_model,model_final,diff_pass,Season
30,Jean-Eudes Aholou,MF,Strasbourg,fr Ligue 1,8.1,1,12.0,1.0,318.0,84.6,130.0,132.0,41.0,0.8,15.0,7.0,22.0,11.0,7.0,11.0,63.6,7.0,14.0,26.0,401.0,12.0,6.0,13.0,46.2,29.0,10.0,1.0,10.0,3.0,76.9,309.0,9.0,40.0,4.0,2.0,257.0,32.0,29.0,0.0,5,13.0,51.0,40.880503144654085,41.509433962264154,12.89308176100629,97.16981132075472,2.830188679245283,1.2578616352201257,0.6289308176100629,80.81761006289308,10.062893081761006,9.119496855345911,0.0,12.578616352201259,85.1,-0.5,2021
31,Joseph Aidoo,DF,Celta Vigo,es La Liga,21.3,0,5.0,0.4,1073.0,83.8,238.0,517.0,294.0,0.1,77.0,4.0,71.0,9.0,15.0,23.0,65.2,41.0,41.0,83.0,1287.0,9.0,4.0,5.0,80.0,75.0,5.0,1.0,57.0,37.0,60.6,1053.0,10.0,112.0,27.0,1.0,780.0,87.0,206.0,10.0,23,94.0,146.0,22.18080149114632,48.182665424044735,27.399813606710158,98.13606710158435,0.9319664492078286,2.516309412861137,0.09319664492078285,72.69338303821063,8.108108108108109,19.19850885368127,0.9319664492078286,10.43802423112768,83.4,0.4,2021
32,Ola Aina,DF,Torino,it Serie A,11.8,0,8.0,0.2,546.0,70.3,216.0,192.0,106.0,1.3,34.0,18.0,49.0,26.0,11.0,18.0,61.1,20.0,27.0,50.0,719.0,24.0,14.0,28.0,50.0,61.0,24.0,10.0,14.0,18.0,43.8,446.0,6.0,67.0,6.0,27.0,289.0,100.0,157.0,94.0,9,32.0,110.0,39.56043956043956,35.16483516483517,19.413919413919412,81.68498168498168,1.098901098901099,1.098901098901099,4.945054945054945,52.93040293040293,18.315018315018314,28.754578754578755,17.216117216117215,12.271062271062272,71.4,-1.1,2021
33,Rayan Ait Nouri,DF,Wolves,eng Premier League,15.3,0,8.0,0.4,758.0,74.1,318.0,272.0,133.0,1.2,19.0,12.0,30.0,36.0,21.0,37.0,56.8,29.0,27.0,85.0,971.0,36.0,31.0,57.0,54.4,91.0,18.0,11.0,18.0,19.0,48.6,590.0,13.0,108.0,27.0,40.0,420.0,160.0,178.0,128.0,22,37.0,121.0,41.952506596306065,35.88390501319261,17.54617414248021,77.83641160949868,1.7150395778364116,3.5620052770448547,5.277044854881266,55.4089709762533,21.108179419525065,23.482849604221634,16.886543535620053,14.248021108179419,75.0,-0.9,2021
34,Kristoffer Ajer,DF,Brentford,eng Premier League,16.6,0,5.0,0.4,629.0,70.9,212.0,278.0,96.0,1.0,34.0,7.0,53.0,17.0,14.0,27.0,51.9,31.0,37.0,64.0,821.0,25.0,8.0,14.0,57.1,42.0,12.0,1.0,53.0,33.0,61.6,517.0,6.0,110.0,5.0,7.0,304.0,173.0,152.0,106.0,19,86.0,95.0,33.70429252782194,44.19713831478538,15.262321144674086,82.1939586645469,0.9538950715421304,0.794912559618442,1.1128775834658187,48.330683624801274,27.503974562798092,24.165341812400637,16.85214626391097,17.488076311605724,70.3,0.6,2021
35,Ludovic Ajorque,FW,Strasbourg,fr Ligue 1,24.9,11,49.0,7.4,766.0,72.8,404.0,218.0,72.0,4.0,29.0,23.0,43.0,60.0,7.0,34.0,20.6,22.0,10.0,49.0,1054.0,126.0,13.0,26.0,50.0,41.0,14.0,6.0,130.0,95.0,57.8,753.0,0.0,246.0,14.0,13.0,417.0,214.0,135.0,2.0,12,225.0,84.0,52.74151436031332,28.45953002610966,9.399477806788513,98.30287206266318,0.0,1.8276762402088773,1.6971279373368147,54.438642297650134,27.93733681462141,17.62402088772846,0.26109660574412535,32.114882506527415,66.6,6.2,2021
36,Manuel Akanji,DF,Dortmund,de Bundesliga,19.4,0,11.0,1.2,1487.0,90.9,407.0,715.0,351.0,0.1,95.0,3.0,93.0,8.0,19.0,30.0,63.3,29.0,38.0,80.0,1657.0,18.0,5.0,5.0,100.0,91.0,10.0,0.0,50.0,30.0,62.5,1438.0,45.0,151.0,59.0,1.0,1211.0,90.0,186.0,4.0,16,80.0,184.0,27.370544720914594,48.08338937457969,23.604572965702758,96.70477471418964,3.0262273032952254,3.967720242098184,0.06724949562878278,81.43913920645595,6.052454606590451,12.508406186953598,0.26899798251513113,10.1546738399462,89.8,1.1,2021
37,Carlos Akapo,DF,Cadiz,es La Liga,15.1,0,6.0,0.2,604.0,72.0,220.0,244.0,113.0,0.3,18.0,10.0,21.0,13.0,10.0,25.0,40.0,27.0,46.0,79.0,777.0,7.0,9.0,13.0,69.2,48.0,23.0,3.0,31.0,24.0,56.4,481.0,13.0,85.0,14.0,23.0,306.0,142.0,156.0,110.0,23,55.0,69.0,36.42384105960265,40.397350993377486,18.70860927152318,79.63576158940397,2.152317880794702,2.3178807947019866,3.80794701986755,50.66225165562914,23.509933774834437,25.827814569536425,18.211920529801326,14.072847682119205,72.9,-0.9,2021
38,Marley Ake,FW,Juventus,it Serie A,0.1,0,0.0,0.0,4.0,100.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0,0.0,0.0,25.0,25.0,25.0,100.0,0.0,25.0,25.0,75.0,0.0,25.0,0.0,0.0,75.6,24.4,2021
39,Nathan Ake,DF,Manchester City,eng Premier League,8.5,1,3.0,0.7,704.0,92.5,286.0,329.0,81.0,0.5,48.0,3.0,28.0,3.0,4.0,6.0,66.7,10.0,16.0,28.0,772.0,6.0,0.0,2.0,0.0,67.0,9.0,0.0,35.0,7.0,83.3,675.0,13.0,57.0,5.0,0.0,602.0,51.0,51.0,16.0,3,42.0,95.0,40.625,46.73295454545455,11.505681818181818,95.88068181818181,1.8465909090909092,0.7102272727272727,0.0,85.51136363636364,7.244318181818182,7.244318181818182,2.272727272727273,8.096590909090908,90.4,2.1,2021
