,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Cmp%,xA,1/3_x,PPA,Prog_x,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,SCA,TklW,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Prog_y,1/3_y,CPA,Won,Prog+,Season
444,Ander Capa,DF,Athletic Club,es La Liga,31.9,3,17.0,1.1,74.3,3.4,66.0,25.0,107.0,,,,,,,,,,,,,,,,,,,48.0,32.0,56.0,20.0,78.0,1951.0,47.0,52.0,195.0,72.0,13.0,43.0,302.0,2021
445,Pierrick Capelle,"MF,DF",Angers,fr Ligue 1,19.4,1,35.0,2.0,81.8,1.6,44.0,12.0,59.0,,,,,,,,,,,,,,,,,,,40.0,35.0,26.0,17.0,63.0,1052.0,52.0,26.0,106.0,42.0,8.0,38.0,165.0,2021
446,Etienne Capoue,MF,Watford,eng Premier League,29.2,0,19.0,0.8,81.0,3.1,130.0,8.0,118.0,,,,,,,,,,,,,,,,,,,44.0,55.0,53.0,43.0,124.0,1749.0,12.0,32.0,66.0,10.0,4.0,46.0,184.0,2021
447,Gianluca Caprari,"FW,MF",Sampdoria,it Serie A,7.4,3,24.0,1.9,73.8,0.5,18.0,13.0,20.0,,,,,,,,,,,,,,,,,,,29.0,8.0,5.0,5.0,15.0,369.0,28.0,15.0,41.0,20.0,6.0,1.0,61.0,2021
448,Gianluca Caprari,"FW,MF",Parma,it Serie A,6.5,2,15.0,1.7,79.7,1.4,11.0,6.0,15.0,,,,,,,,,,,,,,,,,,,29.0,4.0,10.0,4.0,8.0,292.0,27.0,13.0,33.0,15.0,4.0,2.0,48.0,2021
449,Francesco Caputo,FW,Sassuolo,it Serie A,32.6,21,72.0,14.2,78.2,6.0,21.0,20.0,35.0,,,,,,,,,,,,,,,,,,,93.0,5.0,17.0,1.0,9.0,1087.0,201.0,23.0,86.0,31.0,31.0,16.0,121.0,2021
450,Maxence Caqueret,MF,Lyon,fr Ligue 1,6.3,0,4.0,0.2,86.7,0.3,29.0,8.0,46.0,,,,,,,,,,,,,,,,,,,14.0,11.0,17.0,7.0,25.0,468.0,10.0,6.0,30.0,9.0,1.0,4.0,76.0,2021
451,Andrea Carboni,"DF,MF",Cagliari,it Serie A,4.1,0,1.0,0.0,82.2,0.0,15.0,1.0,11.0,,,,,,,,,,,,,,,,,,,2.0,2.0,9.0,5.0,12.0,207.0,1.0,0.0,19.0,4.0,0.0,8.0,30.0,2021
452,Irvin Cardona,"FW,MF",Brest,fr Ligue 1,16.1,6,50.0,6.2,65.8,1.8,19.0,19.0,37.0,,,,,,,,,,,,,,,,,,,33.0,11.0,15.0,3.0,19.0,666.0,87.0,12.0,66.0,18.0,13.0,21.0,103.0,2021
453,Marc Cardona,FW,Osasuna,es La Liga,7.8,1,13.0,1.9,73.4,1.4,7.0,5.0,10.0,,,,,,,,,,,,,,,,,,,15.0,2.0,7.0,0.0,2.0,270.0,31.0,10.0,28.0,11.0,4.0,9.0,38.0,2021
454,Diego Carlos,DF,Sevilla,es La Liga,34.8,2,20.0,2.0,86.6,0.5,70.0,3.0,55.0,,,,,,,,,,,,,,,,,,,17.0,34.0,57.0,18.0,63.0,2226.0,28.0,8.0,28.0,6.0,0.0,91.0,83.0,2021
455,Lionel Carole,DF,Strasbourg,fr Ligue 1,14.1,0,5.0,0.2,78.2,0.7,51.0,18.0,84.0,,,,,,,,,,,,,,,,,,,29.0,8.0,16.0,13.0,33.0,918.0,11.0,16.0,94.0,30.0,1.0,20.0,178.0,2021
456,Yannick Carrasco,"MF,FW",Atletico Madrid,es La Liga,7.0,1,17.0,1.7,75.0,0.7,18.0,6.0,24.0,,,,,,,,,,,,,,,,,,,25.0,7.0,11.0,5.0,18.0,353.0,27.0,18.0,36.0,9.0,9.0,2.0,60.0,2021
457,Daniel Carrico,DF,Sevilla,es La Liga,9.4,0,4.0,0.3,92.6,0.0,23.0,0.0,18.0,,,,,,,,,,,,,,,,,,,3.0,9.0,10.0,3.0,14.0,617.0,9.0,3.0,29.0,9.0,1.0,15.0,47.0,2021
458,Guido Carrillo,FW,Leganes,es La Liga,13.5,1,35.0,4.7,68.2,0.3,16.0,7.0,24.0,,,,,,,,,,,,,,,,,,,29.0,10.0,14.0,3.0,19.0,492.0,61.0,5.0,11.0,3.0,2.0,121.0,35.0,2021
459,Andy Carroll,FW,Newcastle Utd,eng Premier League,7.0,0,15.0,0.9,64.7,1.6,12.0,9.0,15.0,,,,,,,,,,,,,,,,,,,20.0,1.0,7.0,3.0,10.0,320.0,31.0,5.0,9.0,1.0,1.0,78.0,24.0,2021
460,Dani Carvajal,DF,Real Madrid,es La Liga,30.4,1,20.0,2.7,84.6,4.3,124.0,53.0,157.0,,,,,,,,,,,,,,,,,,,74.0,53.0,71.0,39.0,109.0,2739.0,75.0,30.0,255.0,74.0,19.0,27.0,412.0,2021
461,Matis Carvalho,GK,Montpellier,fr Ligue 1,0.8,0,0.0,0.0,48.1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
462,William Carvalho,MF,Betis,es La Liga,9.9,0,6.0,0.5,89.0,0.8,57.0,6.0,41.0,,,,,,,,,,,,,,,,,,,14.0,7.0,13.0,2.0,12.0,702.0,6.0,15.0,45.0,12.0,1.0,17.0,86.0,2021
463,Casemiro,MF,Real Madrid,es La Liga,34.3,4,44.0,3.6,83.5,0.4,185.0,21.0,146.0,,,,,,,,,,,,,,,,,,,54.0,75.0,83.0,37.0,149.0,2615.0,38.0,23.0,113.0,38.0,2.0,92.0,259.0,2021
464,Moreto Cassama,MF,Reims,fr Ligue 1,6.6,0,3.0,0.1,87.8,0.4,34.0,3.0,36.0,,,,,,,,,,,,,,,,,,,13.0,15.0,7.0,4.0,25.0,570.0,1.0,15.0,27.0,9.0,0.0,4.0,63.0,2021
465,Francesco Cassata,MF,Genoa,it Serie A,16.2,2,13.0,1.3,78.1,1.4,28.0,18.0,53.0,,,,,,,,,,,,,,,,,,,30.0,13.0,20.0,10.0,33.0,822.0,22.0,20.0,57.0,25.0,2.0,10.0,110.0,2021
466,Timothy Castagne,DF,Atalanta,it Serie A,19.7,1,17.0,1.6,84.0,2.5,43.0,26.0,74.0,,,,,,,,,,,,,,,,,,,45.0,23.0,49.0,12.0,51.0,1322.0,53.0,14.0,92.0,33.0,3.0,33.0,166.0,2021
467,Koen Casteels,GK,Wolfsburg,de Bundesliga,26.0,0,0.0,0.0,73.1,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,0.0,0.0,1037.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2021
468,Jean-Charles Castelletto,DF,Brest,fr Ligue 1,20.4,1,3.0,0.6,88.4,0.1,57.0,5.0,53.0,,,,,,,,,,,,,,,,,,,8.0,12.0,41.0,16.0,39.0,1192.0,8.0,8.0,40.0,5.0,0.0,60.0,93.0,2021
469,Samu Castillejo,"FW,MF",Milan,it Serie A,13.4,2,31.0,3.0,75.4,2.9,25.0,21.0,40.0,,,,,,,,,,,,,,,,,,,66.0,18.0,37.0,18.0,43.0,755.0,65.0,24.0,114.0,35.0,15.0,17.0,154.0,2021
470,Jonny Castro,DF,Wolves,eng Premier League,32.1,2,17.0,1.3,81.5,0.9,53.0,20.0,87.0,,,,,,,,,,,,,,,,,,,54.0,61.0,79.0,36.0,134.0,1866.0,70.0,30.0,182.0,49.0,17.0,37.0,269.0,2021
471,Lucas Castro,MF,SPAL,it Serie A,4.7,0,10.0,0.6,77.9,0.3,22.0,4.0,27.0,,,,,,,,,,,,,,,,,,,13.0,6.0,6.0,1.0,12.0,278.0,12.0,6.0,20.0,8.0,1.0,5.0,47.0,2021
472,Lucas Castro,MF,Cagliari,it Serie A,6.7,2,14.0,0.8,74.1,0.5,20.0,7.0,29.0,,,,,,,,,,,,,,,,,,,15.0,8.0,7.0,4.0,18.0,388.0,18.0,15.0,26.0,11.0,0.0,5.0,55.0,2021
473,Gaetano Castrovilli,MF,Fiorentina,it Serie A,29.7,3,48.0,3.1,80.8,2.7,108.0,30.0,99.0,,,,,,,,,,,,,,,,,,,98.0,46.0,53.0,25.0,99.0,1609.0,125.0,94.0,244.0,91.0,26.0,21.0,343.0,2021
474,Danilo Cataldi,MF,Lazio,it Serie A,6.6,1,9.0,0.5,83.0,0.6,58.0,8.0,49.0,,,,,,,,,,,,,,,,,,,28.0,14.0,8.0,5.0,24.0,510.0,6.0,4.0,42.0,9.0,0.0,5.0,91.0,2021
475,Craig Cathcart,DF,Watford,eng Premier League,27.6,0,2.0,0.3,83.3,0.0,37.0,3.0,38.0,,,,,,,,,,,,,,,,,,,5.0,26.0,35.0,16.0,53.0,1151.0,11.0,4.0,22.0,2.0,0.0,75.0,60.0,2021
476,Edinson Cavani,FW,Paris S-G,fr Ligue 1,6.7,4,28.0,6.9,85.7,1.5,6.0,6.0,11.0,,,,,,,,,,,,,,,,,,,23.0,4.0,7.0,0.0,6.0,205.0,54.0,6.0,10.0,2.0,1.0,4.0,21.0,2021
477,Santi Cazorla,MF,Villarreal,es La Liga,27.2,11,39.0,2.4,81.6,6.6,190.0,49.0,175.0,,,,,,,,,,,,,,,,,,,136.0,28.0,35.0,13.0,57.0,2006.0,46.0,53.0,185.0,49.0,9.0,11.0,360.0,2021
478,Dani Ceballos,MF,Arsenal,eng Premier League,18.8,0,13.0,0.5,84.2,1.9,120.0,30.0,105.0,,,,,,,,,,,,,,,,,,,49.0,28.0,29.0,20.0,69.0,1492.0,21.0,29.0,172.0,48.0,6.0,11.0,277.0,2021
479,Federico Ceccherini,DF,Fiorentina,it Serie A,9.3,0,4.0,0.2,87.6,0.0,17.0,2.0,13.0,,,,,,,,,,,,,,,,,,,4.0,10.0,12.0,10.0,22.0,499.0,7.0,4.0,16.0,2.0,1.0,27.0,29.0,2021
